,api_bedrijf_erkenningen,gevelnaam,huisnummer,huisnummer_toevoeging,naam_bedrijf,plaats,postcode_alfanumeriek,postcode_numeriek,straat,volgnummer
0,https://opendata.rdw.nl/resource/nmwb-dqkz.json,,43,,PIEST B.V.,ENSCHEDE,HX,7521,OLIESLAGWEG,476301
1,https://opendata.rdw.nl/resource/nmwb-dqkz.json,HODE BV,56,,HODE B.V.,DRACHTEN,CC,9201,OMLOOP,33504
2,https://opendata.rdw.nl/resource/nmwb-dqkz.json,KOOIKER BEDRIJFSWAGENSPUITERIJ.CARROSSERIE BV,4,A,KOOIKER BEDRIJFSWAGENSPUITERIJ/CARROSSERIE BV,ZWOLLE,AE,8024,OSSENKAMP,298732
3,https://opendata.rdw.nl/resource/nmwb-dqkz.json,Mister Chi Scooters,423,-425,MISTER CHI SCOOTERS,AMSTERDAM,JR,1054,OVERTOOM,3681527
4,https://opendata.rdw.nl/resource/nmwb-dqkz.json,G.A. AUTO'S,166,,G.A. AUTO'S,ENSCHEDE,AW,7512,WOOLDRIKSWEG,8075273
5,https://opendata.rdw.nl/resource/nmwb-dqkz.json,Ogeret Import En Export,4,,OGERET IMPORT EN EXPORT,ROTTERDAM,HC,3088,VAN RIEMSDIJKWEG,1738024
6,https://opendata.rdw.nl/resource/nmwb-dqkz.json,WIELIES,31,,WIELIES,BOXTEL,LJ,5281,MIJLSTRAAT,1179161
7,https://opendata.rdw.nl/resource/nmwb-dqkz.json,A.V.M. Auto's,68,,A.V.M. AUTO'S,BARNEVELD,VH,3771,STATIONSWEG,623067
8,https://opendata.rdw.nl/resource/nmwb-dqkz.json,AUTO TOTAAL SERVICE PLUIM,32,A,AUTO TOTAAL SERVICE PLUIM,WESTERVOORT,ED,6931,VREDENBURGSTRAAT,6947333
9,https://opendata.rdw.nl/resource/nmwb-dqkz.json,ANDRE CARS,15,,ANDRE CARS,POORTUGAAL,VE,3176,ALEIJD VAN STRIENHOF,3868789
10,https://opendata.rdw.nl/resource/nmwb-dqkz.json,Leuverink & Zn. Gar.,170,A,AUTOBEDRIJF LEUVERINK,APELDOORN,CE,7321,DEVENTERSTRAAT,400819
11,https://opendata.rdw.nl/resource/nmwb-dqkz.json,AUTOSERVICE LAGEMAAT,349,,AUTOSERVICE LAGEMAAT,SCHERPENZEEL GLD,CB,3925,STATIONSWEG,2615768
12,https://opendata.rdw.nl/resource/nmwb-dqkz.json,Foxlease.nl,161,PARTERR,FOXLEASE B.V.,UDEN,KC,5402,PRESIDENT KENNEDYLAAN,1249231
13,https://opendata.rdw.nl/resource/nmwb-dqkz.json,WEJEBE BLITTERSWIJCK B.V.,23,,WEJEBE BLITTERSWIJCK B.V.,BLITTERSWIJCK,AC,5863,OUDE HEERWEG,845875
14,https://opendata.rdw.nl/resource/nmwb-dqkz.json,Valkenpower B.V.,11,,VALKENPOWER B.V.,MAASBRACHT,AC,6051,HAVERKAMP,7882377
15,https://opendata.rdw.nl/resource/nmwb-dqkz.json,Van der Loo Tweewielers,43,,VAN DER LOO TWEEWIELERS V.O.F.,HEUSDEN GEM ASTEN,AB,5725,VOORSTE HEUSDEN,1218977
16,https://opendata.rdw.nl/resource/nmwb-dqkz.json,Max APK & Airco,7,,MAX APK & AIRCO,STADSKANAAL,KE,9502,ZADELMAKER,267089
17,https://opendata.rdw.nl/resource/nmwb-dqkz.json,Connexxion Techniek,50,,CONNEXXION OPENBAAR VERVOER N.V.,EINDHOVEN,AM,5613,PROFESSOR DR DORGELOLAAN,7664955
18,https://opendata.rdw.nl/resource/nmwb-dqkz.json,TVSAUTOS.NL WESTERVOORT,9,,THEO VRANCKEN SERVICE TVS,WESTERVOORT,KH,6931,LIEMERSALLEE,7404192
19,https://opendata.rdw.nl/resource/nmwb-dqkz.json,JOUEERSTEAUTO.NL,34,,JOUEERSTEAUTO.NL,STRIJEN,CN,3291,CHRISTIAAN HUYGENSSTRAAT,6988087
20,https://opendata.rdw.nl/resource/nmwb-dqkz.json,Nat.-Ned. Schadeverzekering Maatschappij N.V.,20,,NAT.-NED. SCHADEVERZEKERING MAATSCHAPPIJ N.V.,RIJSWIJK ZH,CC,2289,EINSTEINLAAN,7829447
21,https://opendata.rdw.nl/resource/nmwb-dqkz.json,Megens Auto's,6,,GARAGE MEGENS,BERGHEM,NJ,5351,RUNSELSTRAAT,7793463
22,https://opendata.rdw.nl/resource/nmwb-dqkz.json,Tymon Bemiddeling & Advies,893,,TYMON BEMIDDELING & ADVIES,ENSCHEDE,AD,7524,OLDENZAALSESTRAAT,510629
23,https://opendata.rdw.nl/resource/nmwb-dqkz.json,Handel voor Handel International V.O.F.,62,B,HANDEL VOOR HANDEL INTERNATIONAL,NUENEN,TM,5674,DE HUUFKES,7725867
24,https://opendata.rdw.nl/resource/nmwb-dqkz.json,AUTOSCHADE WITTEBROOD B.V.,19,,AUTOSCHADE WITTEBROOD B.V.,NIEUW-VENNEP,CW,2152,STARINGSTRAAT,3969755
25,https://opendata.rdw.nl/resource/nmwb-dqkz.json,V.O.F. C. DE GREEF EN S.M.D.F. DE HEUS,55,,V.O.F. GARAGE DE GREEF,ECHTELD,MS,4054,ACHTERSTRAAT,770424
26,https://opendata.rdw.nl/resource/nmwb-dqkz.json,APK Keuringsstation Breda,7,A,APK KEURINGSSTATION BREDA,BREDA,AX,4825,PRINSENHIL,7799078
27,https://opendata.rdw.nl/resource/nmwb-dqkz.json,Autobedrijf Wim Prins,1,,GARAGE PRINS B.V.,NUNSPEET,SC,8071,GALVANIWEG,406297
28,https://opendata.rdw.nl/resource/nmwb-dqkz.json,H. VEENHUIZEN AUTO'S,1,,H. VEENHUIZEN AUTO'S,RODEN,ZB,9301,DOBBEN,270077
29,https://opendata.rdw.nl/resource/nmwb-dqkz.json,G.P. TRADING B.V.,2,,G.P. TRADING B.V.,PUTTEN,LS,3881,HANDELSWEG,535608
30,https://opendata.rdw.nl/resource/nmwb-dqkz.json,"Segers, Autobedrijf Peter",31,-33,AUTOBEDRIJF SEGERS,AMERSFOORT,NL,3812,CHROMIUMWEG,2510227
31,https://opendata.rdw.nl/resource/nmwb-dqkz.json,D-B. LEASE B.V.,682,,D-B. LEASE B.V.,NOORD-SCHARWOUDE,HL,1723,DORPSSTRAAT,3156758
32,https://opendata.rdw.nl/resource/nmwb-dqkz.json,De Autoconcurrent,5,G,DE AUTOCONCURRENT,OUD-BEIJERLAND,HN,3262,REMBRANDTSTRAAT,4168399
33,https://opendata.rdw.nl/resource/nmwb-dqkz.json,Autowelt Providing B.V.,0,,AUTOWELT PROVIDING B.V.,48488 EMSBUREN,,0,DARWINSTRASSE 5,6788834
34,https://opendata.rdw.nl/resource/nmwb-dqkz.json,Carcleaning Guchelaar,28,,CARCLEANING GUCHELAAR,HOLLANDSCHEVELD,AZ,7913,RIEGSHOOGTENDIJK,7621381
35,https://opendata.rdw.nl/resource/nmwb-dqkz.json,AUTOBEDRIJF LINDELAUF,66,,AUTOBEDRIJF LINDELAUF,SITTARD,CN,6132,HEERLENERWEG,6738186
36,https://opendata.rdw.nl/resource/nmwb-dqkz.json,Vakgarage van de Wal Oirschot,34,C,VAKGARAGE VAN DE WAL OIRSCHOT,OIRSCHOT,DP,5688,INDUSTRIEWEG,7630784
37,https://opendata.rdw.nl/resource/nmwb-dqkz.json,Automat Raalte,126,,TCR TANK & SHOP B.V.,RAALTE,PP,8101,WESTDORPLAAN,319593
38,https://opendata.rdw.nl/resource/nmwb-dqkz.json,,14,,STICHTING KLASSIEKE AUTOMOBIELEN BRABANT,VUGHT,XM,5262,SCHOONVELDSINGEL,1341709
39,https://opendata.rdw.nl/resource/nmwb-dqkz.json,AUTOVITEL,39,,QUIST HOLDING B.V.,WAALWIJK,MB,5144,ELZENWEG,1336408
