X,Y,Z,K
-0.081722,9.9565,-0.23155,5.0
1.2667,8.6898,-0.65378,5.0
0.38137,9.7249,-0.88532,5.0
-0.65378,10.379,-1.076,5.0
-0.27241,8.8124,0.23155,5.0
0.65378,7.0145,0.92618,5.0
0.61292,6.8238,0.19068,5.0
-0.14982,7.5048,-0.34051,5.0
-0.14982,8.0496,-0.081722,5.0
0.42223,8.1177,0.53119,5.0
0.27241,8.3084,0.8036,5.0
-0.38137,8.7715,0.95342,5.0
-0.46309,9.9973,0.8036,5.0
0.040861,11.795,0.8036,5.0
-0.29965,12.531,1.9477,5.0
-1.5255,12.871,2.7649,5.0
-0.61292,14.288,1.6481,5.0
0.92618,12.599,0.14982,5.0
2.3427,9.6568,-0.29965,5.0
4.1406,8.3084,-0.76274,5.0
5.598,8.3084,-0.91256,5.0
4.4811,9.003,-0.23155,5.0
0.53119,8.9213,1.1441,5.0
-1.757,7.927,1.9205,5.0
-1.2258,6.7012,1.9886,5.0
-0.38137,6.4424,1.3076,5.0
-0.50395,7.2733,0.88532,5.0
-0.46309,7.8181,1.3348,5.0
0.57205,8.0769,2.261,5.0
1.1169,8.1177,2.7922,5.0
0.50395,8.6625,2.4925,5.0
0.23155,9.9565,1.4165,5.0
0.8036,11.496,0.84446,5.0
1.2667,11.877,2.0703,5.0
0.72188,13.634,2.6832,5.0
0.42223,14.71,1.5391,5.0
1.3348,11.182,0.46309,5.0
2.4517,8.3493,-0.38137,5.0
2.1793,9.1529,-1.5663,5.0
0.23155,11.032,-2.1793,5.0
0.27241,10.42,-0.95342,5.0
1.0351,7.9679,1.4574,5.0
0.92618,6.6331,1.9477,5.0
0.46309,6.5922,0.95342,5.0
0.46309,6.8919,-0.10896,5.0
0.76274,7.355,-0.46309,5.0
0.040861,8.0769,0.081722,5.0
-1.185,12.217,0.34051,8.0
-0.65378,12.408,-0.88532,8.0
0.19068,11.986,-3.2961,8.0
0.23155,9.507,-4.3313,8.0
-0.53119,8.2403,-2.7922,8.0
-0.34051,8.54,-3.4459,8.0
0.23155,9.507,-4.0997,8.0
0.42223,10.529,-2.7513,8.0
0.76274,9.9156,-1.6481,8.0
0.88532,8.6898,-0.65378,8.0
0.76274,7.8862,-0.42223,8.0
0.19068,7.3958,-1.1169,8.0
-0.46309,7.6274,-1.9205,8.0
